country,year,population,gdp,energy_per_capita,energy_per_gdp,electricity_generation,renewables_electricity,fossil_electricity,carbon_intensity_elec,renewable_ratio,fossil_ratio,gdp_per_capita,energy_efficiency_score,carbon_risk_score
Afghanistan,1927,6214731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1933,6580308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1944,7307295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1947,7519147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1966,1.0175E7,2.9652846592E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.2846773464375,0.0,0.0
Afghanistan,2013,3.227E7,6.2993698816E10,1016.698,0.521,1.103,0.885,0.218,0.0,0.8023572076155938,0.19764279238440616,1952.0823928106602,6.195910566953018E7,0.0
Africa,1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1979,4.63184E8,0.0,3414.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1983,5.1848E8,0.0,3998.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1995,7.17270016E8,0.0,3971.044,0.0,362.728,60.796,289.353,0.0,0.16760768399461856,0.797713438168545,0.0,0.0,0.0
Africa,1998,7.72436992E8,0.0,3919.0,0.0,406.309,68.377,321.908,0.0,0.16828817476354202,0.7922738605347162,0.0,0.0,0.0
Africa,2010,1.039304E9,0.0,4296.284,0.0,671.579,113.754,540.998,0.0,0.16938290208597948,0.8055612221347006,0.0,0.0,0.0
Africa,2012,1.09434304E9,0.0,4237.315,0.0,720.639,118.555,585.699,0.0,0.16451371629900685,0.8127495181359876,0.0,0.0,0.0
Albania,1926,994619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1973,2306000.0,7.604352E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3297.637467476149,0.0,0.0
Albania,1977,2519000.0,8.48041984E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.5819134577214,0.0,0.0
Albania,1983,2845000.0,9.884107776E9,19617.038,5.646,0.0,0.0,0.0,0.0,0.0,0.0,3474.2030847100177,503853.22065441275,0.0
Albania,1989,3258000.0,1.1783652352E10,16823.429,4.651,0.0,0.0,0.0,0.0,0.0,0.0,3616.836203806016,700431.0686008185,0.0
Albania,2002,3126000.0,1.7037855744E10,8683.174,1.593,3.641,3.477,0.164,0.0,0.9549574292776709,0.045042570722329034,5450.369719769674,1962169.1036019777,0.0
Albania,2005,3087000.0,1.969197056E10,11159.786,1.749,5.385,5.319,0.066,0.0,0.9877437325905293,0.012256267409470754,6378.999209588597,1764547.3273412231,0.0
Algeria,1914,5620940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1937,7508790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1977,1.7583E7,1.71E11,5127.934,0.527,0.0,0.0,0.0,0.0,0.0,0.0,9725.302849343116,3.33467630433621E7,0.0
Algeria,1978,1.8102E7,1.93E11,6259.903,0.587,0.0,0.0,0.0,0.0,0.0,0.0,10661.805325378411,3.0831148661568716E7,0.0
Algeria,1990,2.5759E7,2.09E11,12226.786,1.507,16.104,0.135,0.0,0.0,0.00838301043219076,0.0,8113.669008890097,1.7093617243321344E7,0.0
Algeria,2001,3.1452E7,2.52E11,9881.754,1.233,25.031,0.068,24.963,0.0,0.0027166313770924056,0.9972833686229077,8012.209080503624,2.550154557581579E7,0.0
American Samoa,2000,58000.0,0.0,39634.886,0.0,0.159,0.0,0.159,0.0,0.0,1.0,0.0,0.0,0.0
Angola,1916,3433900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1926,3695087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1941,4132344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1949,4490709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1951,4617000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1966,5781000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1976,7280000.0,1.7335730176E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381.2816175824178,0.0,0.0
Angola,1978,7791000.0,1.8150569984E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2329.6842490052627,0.0,0.0
Angola,1987,1.0689E7,1.5645708288E10,2049.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1463.7204872298626,7633542.2950819675,0.0
Angola,1991,1.2249E7,1.495084544E10,1986.281,1.627,0.0,0.0,0.0,0.0,0.0,0.0,1220.576817699404,7527054.550690461,0.0
Antigua and Barbuda,1990,63000.0,0.0,27789.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1992,64000.0,0.0,27332.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1995,69000.0,0.0,28858.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2005,81000.0,0.0,31322.095,0.0,0.228,0.0,0.228,0.0,0.0,1.0,0.0,0.0,0.0
Argentina,1922,9399467.0,5.8343903232E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6207.1501747918255,0.0,0.0
Argentina,1932,1.2411154E7,7.482126336E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6028.550073587033,0.0,0.0
Argentina,1933,1.2633735E7,7.8300471296E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6197.729435990228,0.0,0.0
Argentina,1954,1.8443E7,1.53E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8295.830396356341,0.0,0.0
Argentina,1971,2.426E7,3.09E11,14751.983,1.158,0.0,0.0,0.0,0.0,0.0,0.0,12737.015663643859,2.0946336502692554E7,0.0
Argentina,1982,2.8795E7,3.77E11,15782.359,1.205,0.0,0.0,0.0,0.0,0.0,0.0,13092.55079006772,2.388743026311846E7,0.0
